no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
1,Algeria,"Africa, N",41657488,21.5,4.3,28.3,11820000,11.7,15200,1.83,7.2,2381740,Yes,46.14,50.37,58.2,66.73,70.29,74.68
2,Egypt,"Africa, N",99413317,28.8,4.5,23.9,29950000,12.2,12700,0.79,5.6,1001450,Yes,48.06,52.16,58.34,64.58,68.61,70.36
3,Libya,"Africa, N",6754507,17.2,3.7,29.4,1114000,30,9600,2.16,5,1759540,Yes,42.61,56.05,64.19,68.52,70.47,71.64
4,Morocco,"Africa, N",34314130,17.5,4.9,29.7,12000000,10.2,8600,0.73,5.9,446550,Yes,48.46,52.57,57.56,64.73,68.72,74
5,Sudan,"Africa, N",43120843,34.2,6.7,17.9,11920000,19.6,4300,0.41,8.4,1861484,Yes,48.19,52.23,54.25,55.5,58.43,62.62
6,Tunisia,"Africa, N",11516189,17.4,6.4,32,4054000,15.5,11900,1.27,7,163610,Yes,42.02,51.15,62,68.79,73.16,74.79
7,Western Sahara,"Africa, N",619551,28.9,7.9,21.5,144000,NA,2500,NA,NA,266000,Yes,NA,NA,NA,NA,NA,NA
8,Angola,"Africa, S",30355880,43.7,9,15.9,12510000,6.6,6800,0.21,3.3,1246700,Yes,33.25,37.05,40.55,41.7,47.11,58.19
9,Benin,"Africa, S",11340504,34.5,7.7,18.4,3662000,1,2300,0.16,4.6,112622,Yes,37.27,42.15,47.19,53.81,55.39,59.32
10,Botswana,"Africa, S",2249104,21.7,9.5,24.9,1177000,20,17000,0.37,5.4,581730,Yes,50.66,54.61,60.73,61.91,49.03,59.87
11,Burkina Faso,"Africa, S",19742715,36.9,8.7,17.4,8501000,77,1900,0.06,5,274200,Yes,34.43,39.1,46.05,49.45,50.49,57.1
12,Burundi,"Africa, S",11844520,40.9,8.6,17.1,5012000,NA,700,0.05,7.5,27830,Yes,41.28,43.83,47.31,48.05,51.55,54.86
13,Cabo Verde,"Africa, S",568373,19.7,6,25.8,196100,9,7000,0.77,4.8,4033,No,48.93,53.67,61.71,64.88,69.75,71.94
14,Cameroon,"Africa, S",25640965,35,9.4,18.6,9912000,4.3,3700,0.09,4.1,475440,Yes,41.55,46.1,51.21,52.21,50.03,55.42
15,Central African Republic,"Africa, S",5745062,34,12.9,19.8,2242000,6.9,700,0.06,4.2,622984,Yes,36.49,41.95,48.89,48.77,43.94,47.56
16,Chad,"Africa, S",15833116,43,10.5,15.8,5654000,NA,2300,0.05,3.6,1284000,Yes,38.02,41.33,44.7,46.95,47.59,50.23
17,Comoros,"Africa, S",821164,25.3,7.1,20.2,278500,6.5,1600,0.17,6.7,2235,No,41.45,45.64,50.62,56.68,59.46,61.86
18,"Congo, Republic of the","Africa, S",5062021,33.7,9.2,19.6,2055000,36,6800,0.12,5.2,342000,Yes,48.6,53.38,56.14,55.95,51.4,60.47
19,Cote d'Ivoire,"Africa, S",26260582,30.1,8.4,19.9,8747000,9.4,3900,0.23,5.7,322463,Yes,36.87,43.7,50.62,52.49,46.67,50.42
20,Djibouti,"Africa, S",884017,23.3,7.5,24.2,294600,40,3600,0.22,10.6,23200,Yes,44.04,49.16,53.64,56.68,57.02,60.38
21,DR Congo,"Africa, S",85281024,32.8,9.4,18.8,31360000,NA,800,0.09,4.3,2344858,Yes,41.1,43.92,46.36,49.04,50.04,56.91
22,Equatorial Guinea,"Africa, S",797457,31.7,7.6,19.9,195200,8.6,37400,0.4,3.8,28051,Yes,36.74,39.74,43.77,48.24,52.75,55.91
23,Eritrea,"Africa, S",5970646,29.1,7.1,19.9,2710000,5.8,1600,NA,3.3,117600,Yes,38.42,43.16,46.65,49.59,55.26,62.18
24,Ethiopia,"Africa, S",108386391,36,7.5,18,52820000,17.5,2200,0.1,4.9,1104300,Yes,38.42,42.94,43.75,47.1,51.94,61.63
25,Gabon,"Africa, S",2119036,26.5,6.2,20.5,557800,28,18100,0.36,3.4,267667,Yes,39.59,46.7,55.01,61.22,59.3,62.89
26,"Gambia, The","Africa, S",2092731,28.6,6.9,21.3,777100,NA,2600,0.11,7.3,11300,Yes,32.04,37.82,46.29,52.18,55.92,59.62
27,Ghana,"Africa, S",28102471,30.2,6.8,21.2,12490000,11.9,4700,0.18,3.6,238533,Yes,45.84,49.34,52.27,56.76,56.99,60.92
28,Guinea,"Africa, S",11855411,36.4,8.9,19,5558000,2.7,2200,0.08,5.6,245857,Yes,34.89,36.66,41.28,49.95,51.18,56.77
29,Guinea-Bissau,"Africa, S",1833247,37.3,8.5,17.8,731300,NA,1900,0.2,5.6,36125,Yes,37.85,41.54,45.57,49.07,52.27,55.05
30,Kenya,"Africa, S",48397527,22.6,6.7,20,19600000,40,3500,0.2,5.7,580367,Yes,46.35,52.22,57.76,57.54,51.75,62.94
31,Lesotho,"Africa, S",1962461,24.2,15.1,24.4,930800,28.1,3300,0.07,10.6,30355,Yes,46.6,49.04,53.81,59.21,48.41,50.83
32,Liberia,"Africa, S",4809768,37.9,7.4,17.8,1677000,2.8,1300,0.04,10,111369,Yes,34.67,39.25,46,47.18,52.42,59.63
33,Madagascar,"Africa, S",25683610,31,6.4,19.9,13400000,1.8,1600,0.18,3,587041,No,39.96,44.77,49.01,51,58.49,63.39
34,Malawi,"Africa, S",19842560,40.7,7.7,16.6,7000000,20.4,1200,0.02,11.4,118484,Yes,37.81,40.56,44.78,46.58,46.45,57.26
35,Mali,"Africa, S",18429893,43.2,9.6,15.8,6447000,7.9,2200,0.14,6.9,1240192,Yes,28.2,32.39,39.68,45.75,48.07,55.25
36,Mauritania,"Africa, S",3840429,29.9,7.8,20.7,1437000,10.2,4500,0.18,3.8,1030700,Yes,43.49,49.13,54.28,58.42,60.05,62
37,Mauritius,"Africa, S",1364283,12.8,7.1,35.7,633900,7.1,22300,2.31,4.8,2040,No,58.75,63.12,66.97,69.4,71.66,72.97
38,Mozambique,"Africa, S",27233789,37.8,11.4,17.3,12900000,24.5,1300,0.07,7,799380,Yes,35.03,39.27,41.91,42.92,48.35,54.7
39,Namibia,"Africa, S",2533224,26.8,7.7,21.4,956800,34,11200,NA,8.9,824292,Yes,46.91,52.34,57.52,61.54,55.61,58.19
40,Niger,"Africa, S",19866231,43.6,11.5,15.5,6500000,0.3,1200,0.05,5.8,1267000,Yes,35.05,35.88,38.96,43.54,49.87,56.84
41,Nigeria,"Africa, S",203452505,35.2,9.6,18.3,60080000,16.5,5900,0.38,3.7,923768,Yes,36.98,40.97,45.33,45.9,46.27,50.85
42,Rwanda,"Africa, S",12187400,29.8,6.3,19.2,6227000,2.7,2100,0.13,7.5,26338,Yes,42.29,44.34,48.09,34.22,48.42,63.14
43,"Saint Helena, Ascension, and Tristan da Cunha","Africa, S",7841,9.4,8,42.4,2486,14,7800,NA,NA,394,No,NA,NA,NA,NA,NA,NA
44,Sao Tome and Principe,"Africa, S",204454,31.5,6.7,18.7,72600,12.2,3200,NA,8.4,964,No,50.36,55.86,60.55,61.81,63.34,65.88
45,Senegal,"Africa, S",15020945,32.9,7.9,19,6966000,48,3500,0.07,4.7,196722,Yes,38.22,39.23,48.94,57.2,57.8,64.18
46,Seychelles,"Africa, S",94633,13.4,7,35.8,47210,3,29300,0.95,3.4,455,No,NA,NA,69.6,68.11,72.78,73.2
47,Sierra Leone,"Africa, S",6312212,36,10.2,19.1,2972000,15,1600,0.03,11.1,71740,Yes,30.37,34.6,40.64,37.35,38.7,48.22
48,Somalia,"Africa, S",11259029,39.3,12.8,18.2,4154000,NA,NA,0.02,NA,637657,Yes,36.98,40.96,44.72,45.38,50.87,53.99
49,South Africa,"Africa, S",55380210,19.9,9.3,27.4,22190000,27.5,13600,0.91,8.8,1219090,Yes,52.22,55.85,57.7,62.06,56.34,55.89
50,South Sudan,"Africa, S",10204581,36.9,19.3,18.1,NA,NA,1600,NA,2.7,644329,Yes,31.7,35.81,39.03,43.53,49.24,53.66
51,Swaziland (eSwatini),"Africa, S",1087200,25.8,10.7,23.2,427900,28,10100,0.08,9.3,17364,Yes,44.29,48.04,54.35,60.37,48.52,51.6
52,Tanzania,"Africa, S",55451343,35.3,7.5,17.9,24890000,10.3,3200,0.04,5.6,947300,Yes,43.69,46.72,50.43,50.21,51.49,60.89
53,Togo,"Africa, S",8176449,32.8,6.8,19.9,2595000,6.9,1700,0.05,5.2,56785,Yes,40.3,46.57,52.34,55.89,53.49,57.47
54,Uganda,"Africa, S",40853749,42.4,9.9,15.9,15840000,9.4,2400,0.09,7.2,241038,Yes,43.99,48.83,49.37,45.51,47.08,57.15
55,Zambia,"Africa, S",16445079,41.1,12,16.8,6898000,15,4000,0.09,5,752618,Yes,45.12,49.04,51.27,45,44.7,56.59
56,Zimbabwe,"Africa, S",14030368,34,9.9,20.2,7907000,11.3,2300,0.08,6.4,390757,Yes,51.57,54.92,59.39,57.94,44.84,52.98
57,Belize,"America, Central",385854,22.9,4.2,23.7,120500,9,8300,1.13,5.8,22966,Yes,59.98,65.57,69.58,71.25,68.33,69.68
58,Costa Rica,"America, Central",4987142,15.3,4.8,31.7,2229000,8.1,16900,1.15,9.3,51100,Yes,60.56,66.44,72.05,75.64,77.45,78.76
59,El Salvador,"America, Central",6187271,16.1,5.8,27.6,2774000,7,8000,1.57,6.8,21041,Yes,49.97,54.99,56.38,63.99,68.83,71.9
60,Guatemala,"America, Central",16581273,24.6,5,22.5,6664000,2.3,8200,0.36,6.2,108889,Yes,46.7,52.5,57.27,62.26,67.85,71.49
61,Honduras,"America, Central",9182766,22,5.3,23.3,3735000,5.6,5600,0.31,8.7,112090,Yes,46.27,52.52,59.63,66.73,70.54,72.45
62,Mexico,"America, Central",125959205,18.1,5.4,28.6,54510000,3.4,19900,2.25,6.3,1964375,Yes,57.08,61.37,66.56,70.84,74.36,76.1
63,Nicaragua,"America, Central",6085213,17.5,5.2,26.2,3046000,6.4,5900,1.01,9,130370,Yes,47.03,53.69,58.51,64.17,69.74,73.7
64,Panama,"America, Central",3800644,17.6,5,29.5,1633000,6,25400,1.57,8,75420,Yes,60.86,65.53,70.19,72.99,75.08,76.83
65,Bermuda,"America, North",71176,11.3,8.7,43.5,33480,7,99400,NA,NA,54,No,NA,70.29,72.3,NA,77.89,79.29
66,Canada,"America, North",35881659,10.2,8.8,42.4,19520000,6.3,48400,2.61,10.4,9984670,Yes,71.13,72.7,75.08,77.42,79.14,81.25
67,Greenland,"America, North",57691,14.3,8.8,34,26840,9.1,41800,1.87,NA,2166086,No,NA,NA,63.45,65.07,66.96,70.86
68,Saint Pierre and Miquelon,"America, North",5471,7,10.2,47.2,4429,8.7,46200,NA,NA,242,No,NA,NA,NA,NA,NA,NA
69,United States,"America, North",329256465,12.4,8.2,38.2,160400000,4.4,59800,2.59,17.1,9833517,Yes,69.77,70.81,73.61,75.21,76.64,78.54
70,Argentina,"America, South",44694198,16.5,7.5,31.9,18000000,8.4,20900,3.96,4.8,2780400,Yes,65.02,66.45,69.46,71.57,73.83,75.6
71,Bolivia,"America, South",11306341,21.6,6.3,24.6,5719000,4,7600,1.61,6.3,1098581,Yes,42.14,45.67,50.01,55.1,60.69,66.41
72,Brazil,"America, South",208846892,13.9,6.7,32.4,104200000,12.8,15600,2.15,8.3,8515770,Yes,54.24,59.15,61.98,65.3,70.06,73.84
73,Chile,"America, South",17925262,13.4,6.3,34.8,8881000,6.7,24600,1.08,7.8,756102,Yes,57.29,62.31,69.07,73.68,76.79,78.45
74,Colombia,"America, South",48168996,15.8,5.5,30.4,25760000,9.3,14400,2.08,7.2,1138910,Yes,56.75,60.91,65.51,68.29,71.02,73.33
75,Ecuador,"America, South",16498502,17.6,5.1,28.1,8086000,4.6,11500,2.05,9.2,283561,Yes,53.24,57.78,63.1,68.99,72.93,75.05
76,Falkland Islands (Islas Malvinas),"America, South",3198,10.9,4.9,NA,1850,1,70800,NA,NA,12173,No,NA,NA,NA,NA,NA,NA
77,Guyana,"America, South",740685,15.4,7.4,26.7,313800,11.1,8100,0.8,5.2,214969,Yes,60.26,61.79,62.5,63.29,64.93,66.02
78,Paraguay,"America, South",7025763,16.6,4.8,28.7,3428000,5.7,12800,1.37,9.8,406752,Yes,63.88,65.49,66.79,68.01,70.07,72.29
79,Peru,"America, South",31331228,17.6,6.1,28.4,17030000,6.9,13500,1.27,5.5,1285216,Yes,47.69,53.46,60.07,65.54,70.51,73.68
80,Suriname,"America, South",597927,15.6,6.1,30.2,144000,8.9,14900,1.23,5.7,163820,Yes,59.66,63.27,65.86,67.39,67.84,70.34
81,Uruguay,"America, South",3369299,13,9.4,35.1,1748000,7.6,22400,5.05,8.6,176215,Yes,67.78,68.62,70.26,72.57,74.81,76.59
82,Venezuela,"America, South",31689176,18.5,5.3,28.7,14210000,27.1,12500,NA,5.3,912050,Yes,59.25,64.57,68.11,69.8,72.28,73.63
83,Afghanistan,Asia,34940837,37.5,13.2,19,8478000,23.9,2000,0.28,8.2,652230,Yes,32.29,36.68,41.85,49.86,55.48,61.23
84,Armenia,Asia,3038217,12.6,9.5,35.6,1507000,18.9,9500,2.9,4.5,29743,Yes,65.97,70.14,70.94,67.88,71.41,73.33
85,Azerbaijan,Asia,10046516,15.3,7,31.7,5118000,5,17500,3.45,6,86600,Yes,61.04,63.14,64.16,64.83,66.76,70.99
86,Bahrain,Asia,1442659,13.1,2.8,32.5,831600,3.6,49000,0.93,5,760,No,51.87,63.45,69.55,72.39,74.44,76.06
87,Bangladesh,Asia,159453001,18.6,5.4,27.1,66640000,4.4,4200,0.53,2.8,148460,Yes,45.83,47.52,53.48,58.4,65.32,70.2
88,Bhutan,Asia,766397,17,6.4,28.1,397900,3.2,9000,0.37,3.6,38394,Yes,34.53,39.64,45.46,52.88,60.76,67.79
89,Brunei,Asia,450565,16.9,3.7,30.5,203600,6.9,78900,1.77,2.6,5765,Yes,62.47,66.93,70.23,72.92,75.2,76.72
90,Cambodia,Asia,16449519,22.5,7.4,25.7,8913000,0.3,4000,0.17,5.7,181035,Yes,41.24,41.57,27.54,53.6,58.43,66.56
91,China,Asia,1384688986,12.1,8,37.7,806700000,3.9,16700,1.79,5.5,9596960,Yes,43.73,59.09,66.84,69.29,71.96,75.24
92,Gaza Strip,Asia,1836713,30.5,3,17.4,1240000,27.9,NA,2.2,NA,360,Yes,NA,NA,NA,NA,NA,NA
93,Georgia,Asia,4926087,12.1,10.9,38.3,1998000,11.8,10700,5.1,7.4,69700,Yes,63.65,67.45,69.7,70.27,71.91,72.65
94,Hong Kong,Asia,7213338,8.8,7.6,44.8,3965000,3.1,61500,1.93,NA,1108,Yes,66.96,71.39,74.67,77.38,80.88,82.98
95,India,Asia,1296834042,18.7,7.3,28.1,521900000,8.5,7200,0.78,4.7,3287263,Yes,41.17,47.72,53.84,57.92,62.58,66.63
96,Indonesia,Asia,262787403,15.9,6.5,30.5,125000000,5.4,12400,0.38,2.8,1904569,Yes,48.65,54.54,59.62,63.28,66.29,68.15
97,Iran,Asia,83024745,17.4,5.3,30.8,30500000,11.8,20100,1.14,6.9,1648195,Yes,44.95,50.86,54.11,63.83,70.14,73.93
98,Iraq,Asia,40194216,30,3.8,20.2,8900000,16,16700,0.82,5.5,438317,Yes,48.02,58.2,60.13,66.12,69.17,68.47
99,Israel,Asia,8424904,17.9,5.2,30.1,4021000,4.2,36400,3.22,7.8,20770,Yes,NA,71.21,73.88,76.61,78.95,81.6
100,Japan,Asia,126168156,7.5,9.9,47.7,65010000,2.9,42900,2.41,10.2,377915,No,67.67,71.95,76.09,78.84,81.08,82.84
101,Jordan,Asia,10458413,23.6,3.4,22.8,2295000,18.3,9200,2.34,7.5,89342,Yes,52.65,60.17,66.21,69.87,71.73,73.41
102,Kazakhstan,Asia,18744548,17.5,8.2,30.9,8970000,5,26300,3.25,4.4,2724900,Yes,58.37,62.28,66.62,68.34,65.52,68.3
103,"Korea, North",Asia,25381085,14.6,9.3,34.2,14000000,25.6,1700,3.67,NA,120538,Yes,51.3,59.66,66.19,69.9,65.27,69.57
104,"Korea, South",Asia,51418097,8.3,6.3,42.3,27750000,3.7,39500,2.37,7.4,99720,Yes,53,62.16,66.05,71.6,75.91,80.12
105,Kuwait,Asia,2916467,18.8,2.3,29.4,2695000,1.1,65800,2.58,3,17818,Yes,60.29,66.03,69.57,72.08,73.16,73.98
106,Kyrgyzstan,Asia,5849296,21.6,6.4,26.8,2841000,7.1,3700,1.88,6.5,199951,Yes,56.13,60.24,62.9,68.3,68.56,69.3
107,Laos,Asia,7234171,23.2,7.3,23.4,3582000,0.7,7400,0.5,1.9,236800,Yes,43.2,46.27,49.06,53.59,58.92,64.36
108,Lebanon,Asia,6100075,14.1,5.1,31.3,2166000,9.7,19600,2.27,6.4,10400,Yes,63.27,66.07,67.96,70.22,74.45,78.43
109,Macau,Asia,606340,8.4,4.6,39.8,400000,2,110000,2.41,NA,28,Yes,64.83,69.36,73.97,77.3,80.41,82.7
110,Malaysia,Asia,31809660,18.8,5.2,28.7,14940000,3.4,29100,1.51,4.2,329847,Yes,59.47,64.45,68.04,70.73,72.8,74.21
111,Maldives,Asia,392473,16.1,4,28.6,222200,2.9,19200,1.04,13.7,298,No,37.4,44.24,53.12,61.4,69.94,76.11
