no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
112,Mongolia,Asia,3103428,18.2,6.3,28.8,1241000,8,13000,2.89,4.7,1564116,Yes,48.39,55.36,56.94,60.27,62.87,67.38
113,Myanmar (Burma),Asia,55622506,17.7,7.3,28.5,22300000,4,6300,0.86,2.3,676578,Yes,42.71,50.99,54.98,58.74,62.13,65.18
114,Nepal,Asia,29717587,19.1,5.6,24.5,16810000,3,2700,0.65,5.8,147181,Yes,35.2,40.54,46.56,54.26,62.39,67.91
115,Oman,Asia,4613241,23.7,3.3,25.8,2255000,NA,46000,1.97,3.6,309500,Yes,42.67,50.31,59.76,67.18,72.13,75.69
116,Pakistan,Asia,207862518,21.6,6.3,24.1,63890000,6,5400,0.98,2.6,796095,Yes,45.27,52.84,56.97,60.05,62.73,65.13
117,Philippines,Asia,105893381,23.4,6.1,23.7,42780000,5.7,8400,1.28,4.7,300000,No,57.87,60.83,62.16,65.26,67.17,68.32
118,Qatar,Asia,2363569,9.5,1.6,33.4,1953000,8.9,124100,2.78,2.2,11586,Yes,61.09,68.31,72.65,74.98,76.28,77.3
119,Saudi Arabia,Asia,33091113,15.6,3.3,29.9,13800000,6,54500,2.39,4.7,2149690,Yes,45.64,52.69,63.04,69.02,72.44,73.57
120,Singapore,Asia,5995991,8.7,3.5,34.9,3657000,2.2,94100,2.31,4.9,719,No,65.66,68.28,72.19,75.3,77.95,81.54
121,Sri Lanka,Asia,22576592,14.8,6.3,33.1,8937000,4.4,12900,0.96,3.5,65610,No,59.37,64.1,68.17,69.51,71,74.35
122,Syria,Asia,19454263,20.7,4,24.5,3767000,50,2900,1.22,3.3,185180,Yes,51.97,58.81,65.77,70.55,73.11,72.11
123,Taiwan,Asia,23545963,8.2,7.6,41.3,11780000,3.8,50500,NA,NA,35980,No,NA,NA,NA,NA,NA,NA
124,Tajikistan,Asia,8604882,22.8,5.9,24.8,2295000,2.4,3200,1.7,6.9,144100,Yes,56.15,60.11,62.68,63.15,65.49,69.64
125,Thailand,Asia,68615858,11,8.1,38.1,38370000,0.7,17900,0.81,6.5,513120,Yes,54.7,59.39,64.43,70.25,70.62,73.92
126,Timor-Leste,Asia,1321929,32.9,5.8,19.1,286700,4.4,6000,0.72,1.5,14874,Yes,33.73,39.53,34.42,48.47,59.36,67.31
127,Turkey,Asia,81257239,15.4,6,31.4,31300000,10.9,27000,1.76,5.4,783562,Yes,45.37,52.29,58.67,64.26,70.01,74.15
128,Turkmenistan,Asia,5411012,18.9,6.1,28.3,2305000,11,18200,2.22,2.1,488100,Yes,54.47,58.47,61,62.81,63.61,66.66
129,United Arab Emirates,Asia,9701315,9.8,1.7,37.2,5344000,1.6,68600,2.39,3.6,83600,Yes,52.27,61.72,67.7,71.54,74.24,76.34
130,Uzbekistan,Asia,30023709,16.6,5.4,29.1,18120000,5,6900,2.37,5.8,447400,Yes,58.84,62.39,64.64,66.48,67.15,70.01
131,Vietnam,Asia,97040334,15.2,5.9,30.9,54800000,2.2,6900,0.82,7.1,331210,Yes,59.04,59.57,67.55,70.54,73.27,75.12
132,West Bank,Asia,2798494,26,3.5,21.4,1240000,27.9,4300,1.3,NA,5860,Yes,NA,NA,NA,NA,NA,NA
133,Yemen,Asia,28667230,27.6,5.9,19.8,7425000,27,2500,0.31,5.6,527968,Yes,34.36,41.16,50.64,57.88,60.38,63.51
134,Russia,Asia/Europe,142122776,10.7,13.4,39.8,76530000,5.2,27900,4.01,7.1,17098242,Yes,66.06,68.13,67.03,68.89,65.48,68.84
135,Anguilla,Caribbean,17422,12.4,4.7,35.1,6049,8,12200,NA,NA,91,No,NA,NA,NA,NA,NA,NA
136,Antigua and Barbuda,Caribbean,95882,15.6,5.8,32.2,30000,11,26400,2.76,5.5,443,No,62.12,65.9,68.87,71.35,73.54,75.41
137,Aruba,Caribbean,116576,12.3,8.5,39.5,51610,7.7,37500,NA,NA,180,No,65.66,69.14,72.29,73.47,73.79,75.02
138,"Bahamas, The",Caribbean,332634,15.1,7.3,32.3,196900,10.1,32400,1.94,7.7,13880,No,62.88,65.94,68.52,70.71,72.37,74.76
139,Barbados,Caribbean,293131,11.6,8.6,38.9,144000,10.1,18600,2.49,7.5,430,No,61,65.57,68.73,71.38,73.38,74.97
140,British Virgin Islands,Caribbean,35802,11.1,5.2,36.7,12770,2.9,34200,NA,NA,151,No,NA,NA,NA,NA,NA,NA
141,Cayman Islands,Caribbean,59613,12,5.9,40.2,39000,4,43800,NA,NA,264,No,NA,NA,NA,NA,NA,82.19
142,Cuba,Caribbean,11116396,10.6,8.9,41.8,4691000,2.6,12300,8.19,11.1,110860,No,63.83,69.81,73.8,74.64,76.66,78.96
143,Curacao,Caribbean,150241,13.7,8.5,36.3,73010,13,15000,NA,NA,444,No,NA,NA,NA,NA,NA,NA
144,Dominica,Caribbean,74027,15,7.9,34,25000,23,11000,1.08,5.5,751,No,NA,NA,NA,NA,NA,NA
145,Dominican Republic,Caribbean,10298756,18.9,6.4,27.3,4732000,5.1,17000,1.56,4.4,48670,Yes,51.79,58.47,62.98,67.87,70.57,72.7
146,Grenada,Caribbean,112207,15.2,8.2,32.1,55270,24,15100,1.45,6.1,344,No,60.07,63.84,66.56,68.6,70.34,72.62
147,Haiti,Caribbean,10788440,22.6,7.5,23.3,4594000,40.6,1800,0.23,7.6,27750,Yes,42.11,47.22,50.85,54.61,57.72,61.3
148,Jamaica,Caribbean,2812090,16.5,7.6,28.6,1348000,12.2,9200,1.32,5.4,10991,No,64.39,68.32,71.51,72.07,72.33,74.88
149,Montserrat,Caribbean,5315,10.5,6.2,33.8,4521,5.6,34000,NA,NA,102,No,NA,NA,NA,NA,NA,NA
150,Puerto Rico,Caribbean,3294626,8,8.9,42.2,1139000,10.8,39400,NA,NA,13791,No,68.72,71.54,73.7,74.17,76.69,78.41
151,Saint Barthelemy,Caribbean,7160,NA,NA,44.7,NA,NA,NA,NA,NA,25,No,NA,NA,NA,NA,NA,NA
152,Saint Kitts and Nevis,Caribbean,53094,13,7.2,35.5,18170,4.5,28200,2.52,5.1,261,No,NA,NA,NA,NA,NA,NA
153,Saint Lucia,Caribbean,165510,13.1,7.8,35.5,79700,20,14400,0.11,6.7,616,No,57.33,63.02,68.88,71.11,71.46,74.47
154,Saint Martin,Caribbean,32284,NA,NA,32.8,17300,NA,19300,NA,NA,54,Yes,NA,NA,NA,74.52,76.97,78.72
155,Saint Vincent and the Grenadines,Caribbean,101844,13,7.4,34.2,57520,18.8,11500,0.66,8.6,389,No,58.03,65.1,67.54,70.14,70.59,72.33
156,Sint Maarten,Caribbean,42677,13.1,5.4,41.2,23200,12,66800,NA,NA,34,Yes,NA,NA,NA,NA,NA,NA
157,Trinidad and Tobago,Caribbean,1215527,12.3,8.9,36.6,629400,4.9,31300,2.67,5.9,5128,No,62.63,65.08,67.02,68.01,68.53,69.76
158,Turks and Caicos Islands,Caribbean,53701,14.9,3.3,33.8,4848,10,29100,NA,NA,948,No,NA,NA,NA,NA,NA,NA
159,Virgin Islands,Caribbean,106977,12.5,8.1,41.3,48550,10.4,37000,NA,NA,1910,No,66.22,69.05,71.7,74.24,76.62,77.97
160,Albania,Europe,3057220,13.2,6.9,33.4,1198000,13.8,12500,1.2,8.2,28748,Yes,62.28,66.93,70.21,71.84,73.96,76.65
161,Andorra,Europe,85708,7.3,7.4,44.9,39750,3.7,49900,3.33,8.1,468,Yes,NA,NA,NA,NA,NA,NA
162,Austria,Europe,8793370,9.5,9.7,44.2,4260000,5.5,50000,5.14,11.2,83871,Yes,68.59,69.91,72.46,75.57,78.13,80.58
163,Belarus,Europe,9527543,10,13.2,40.3,4381000,0.8,18900,4.08,5.7,207600,Yes,67.71,70.08,69.8,70.84,68.91,70.4
164,Belgium,Europe,11570762,11.3,9.7,41.5,5324000,7.1,46600,3.32,10.6,30528,Yes,69.7,70.97,73.21,76.05,77.72,80.18
165,Bosnia and Herzegovina,Europe,3849891,8.7,10.1,42.5,1380000,20.5,12800,1.89,9.6,51197,Yes,60.35,66.19,70.4,70.88,74.41,75.91
166,Bulgaria,Europe,7057504,8.5,14.5,43,3357000,6.2,21800,3.99,8.4,110879,Yes,69.25,71.26,71.16,71.64,71.66,73.51
167,Croatia,Europe,4270480,8.8,12.4,43.3,1559000,12.4,24700,3.13,7.8,56594,Yes,64.61,68.2,70.18,72.17,72.81,76.48
168,Cyprus,Europe,1237088,11.2,6.8,37.2,426600,11.1,37200,1.95,7.4,9251,No,69.62,72.58,74.79,76.55,78.01,79.43
169,Czechia (Czech Republic),Europe,10686269,9.2,10.5,42.5,5427000,2.9,35500,4.31,7.4,78867,Yes,70.35,69.44,70.28,71.38,74.97,77.42
170,Denmark,Europe,5809502,10.9,9.3,41.9,2998000,5.7,50100,4.46,10.8,43094,Yes,72.18,73.34,74.1,74.81,76.59,79.1
171,Estonia,Europe,1244288,9.9,12.7,43,670200,5.8,31700,3.47,6.4,45228,Yes,67.9,69.94,68.91,69.48,70.42,75.43
172,Faroe Islands,Europe,51018,14.5,8.8,37.6,27540,2.2,40000,2.62,NA,1393,No,NA,NA,NA,76.11,78.43,80.59
173,Finland,Europe,5537364,10.7,10.1,42.6,2473000,8.5,44500,3.81,9.7,338145,Yes,68.82,70.18,73.44,74.81,77.47,79.87
174,France,Europe,67364357,12.1,9.4,41.5,30680000,9.4,44100,3.23,11.5,643801,Yes,69.87,71.66,74.05,76.6,79.06,81.66
175,Germany,Europe,80457737,8.6,11.8,47.4,45900000,3.8,50800,4.21,11.3,357022,Yes,69.31,70.64,72.68,75.23,77.93,79.99
176,Gibraltar,Europe,29461,13.9,8.5,35,24420,1,61700,NA,NA,7,Yes,NA,NA,NA,NA,NA,NA
177,Greece,Europe,10761523,8.3,11.4,44.9,4769000,21.5,27800,4.59,8.1,131957,Yes,68.16,70.9,73.65,76.94,77.89,80.39
178,Guernsey,Europe,66697,9.8,9,44,31470,1.2,52500,NA,NA,78,No,NA,NA,NA,NA,NA,NA
179,Holy See (Vatican City),Europe,1000,NA,NA,NA,4822,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA
180,Hungary,Europe,9825704,8.9,12.8,42.7,4599000,4.2,29600,3.23,7.4,93028,Yes,68,69.16,69.06,69.32,71.25,74.21
181,Iceland,Europe,343518,13.6,6.5,36.7,198700,2.8,52200,3.97,8.9,103000,No,73.42,73.93,76.85,78.04,79.65,81.9
182,Ireland,Europe,5068050,13.8,6.6,37.1,2226000,6.7,73200,3.09,7.8,70273,Yes,69.8,71.03,72.62,74.81,76.54,80.74
183,Isle of Man,Europe,89407,10.9,10.2,44.4,41790,1.1,84600,NA,NA,572,No,NA,NA,NA,NA,NA,NA
184,Italy,Europe,62246674,8.5,10.5,45.8,25940000,11.3,38200,4.09,9.2,301340,Yes,69.12,71.56,73.94,76.97,79.78,82.04
185,Jersey,Europe,99602,12.5,7.8,37.7,59950,4,56600,NA,NA,116,No,NA,NA,NA,NA,NA,NA
186,Kosovo,Europe,1907592,NA,NA,29.6,500300,30.5,10900,NA,NA,10887,Yes,NA,NA,NA,67.75,67.95,69.9
187,Latvia,Europe,1923559,9.6,14.5,43.9,990000,8.7,27700,3.19,5.9,64589,Yes,69.79,69.84,68.81,69.27,70.31,73.48
188,Liechtenstein,Europe,38547,10.4,7.6,43.4,38520,2.4,139100,NA,NA,160,Yes,NA,NA,NA,NA,76.83,81.84
189,Lithuania,Europe,2793284,9.8,14.8,44,1467000,7.1,32400,4.34,6.6,65300,Yes,69.85,70.8,70.48,71.16,72.02,73.27
190,Luxembourg,Europe,605764,11.6,7.3,39.3,282800,5.8,105100,3.03,6.6,2586,Yes,68.45,69.98,72.07,75.01,77.87,80.63
191,Malta,Europe,449043,10,7.9,41.8,206300,4.6,41900,3.83,9.7,316,No,68.6,71.33,73.75,75.94,78.35,81.4
192,Moldova,Europe,3437720,11.2,12.6,37,1295000,4.1,6700,3.2,10.3,33851,Yes,62,65.05,64.95,67.64,67.01,69.62
193,Monaco,Europe,30727,6.5,10.1,53.8,52000,2,115700,6.56,4.3,2,Yes,NA,NA,NA,NA,NA,NA
194,Montenegro,Europe,614249,11.9,10.4,38.9,273200,16.1,17800,2.33,6.4,13812,Yes,63.82,69.93,73.13,74.63,73.23,75.28
195,Netherlands,Europe,17151228,10.9,9,42.7,7969000,4.9,53900,3.51,10.9,41543,Yes,73.39,73.59,75.74,76.88,77.99,80.7
196,North Macedonia,Europe,2118945,10.8,9.6,38.2,950800,22.4,14900,2.87,6.5,25713,Yes,60.63,66.3,68.64,71.15,73.27,74.63
197,Norway,Europe,5372191,12.2,8,39.3,2797000,4.2,72100,4.63,9.7,323802,Yes,73.55,74.09,75.67,76.54,78.63,81
198,Poland,Europe,38420687,9.3,10.5,41.1,17600000,4.9,29600,2.4,6.4,312685,Yes,67.68,69.87,70.1,70.89,73.75,76.25
199,Portugal,Europe,10355493,8.2,10.6,43.7,5233000,8.9,30500,3.34,9.5,92090,Yes,62.81,67.07,71.21,73.97,76.31,79.03
200,Romania,Europe,21457116,8.7,12,41.6,8951000,4.9,24600,2.26,5.6,238391,Yes,65.64,68.06,69.09,69.74,71.16,73.46
201,San Marino,Europe,33779,8.6,8.8,44.7,21960,8.1,59000,6.15,6.1,61,Yes,NA,NA,NA,NA,NA,NA
202,Serbia,Europe,7078110,8.9,13.6,42.8,2920000,14.1,15100,3.13,10.4,77474,Yes,NA,NA,NA,NA,71.58,74.34
203,Slovakia,Europe,5445040,9.6,9.9,41,2758000,8.1,33100,2.46,8.1,49035,Yes,69.92,70.13,70.41,70.93,73.05,75.11
204,Slovenia,Europe,2102126,9.2,9.9,44.2,959000,6.6,34500,2.81,9.2,20273,Yes,68.98,68.61,71.1,73.2,75.41,79.42
205,Spain,Europe,49331076,9,9.2,43.1,22750000,17.2,38400,4.07,9,505370,Yes,69.11,72.03,75.35,76.84,78.97,81.63
206,Sweden,Europe,10040995,12.1,9.4,41.1,5361000,6.7,51200,5.4,11.9,450295,Yes,73.01,74.65,75.74,77.54,79.64,81.45
207,Switzerland,Europe,8292809,10.5,8.4,42.5,5159000,3.2,62100,4.24,11.7,41277,Yes,71.31,73.02,75.46,77.24,79.68,82.25
208,Ukraine,Europe,43952299,10.1,14.3,40.8,17990000,9.2,8800,3.01,7.1,603550,Yes,68.3,70.24,68.82,70.1,67.68,70.27
209,United Kingdom,Europe,65105246,12,9.4,40.5,33500000,4.4,44300,2.81,9.1,243610,Yes,71.13,71.97,73.68,75.88,77.74,80.4
210,American Samoa,Oceania,50826,19,5.9,26.1,17850,29.8,11200,NA,NA,224,No,NA,NA,NA,NA,NA,NA
211,Australia,Oceania,23470145,12,7.3,38.8,12910000,5.6,50400,3.59,9.4,7741220,No,70.82,71.02,74.33,76.99,79.23,81.7
212,Christmas Island,Oceania,2205,NA,NA,NA,NA,NA,NA,NA,NA,135,No,NA,NA,NA,NA,NA,NA
213,Cocos (Keeling) Islands,Oceania,596,NA,NA,NA,NA,0.1,NA,NA,NA,14,No,NA,NA,NA,NA,NA,NA
214,Cook Islands,Oceania,9038,13.7,8.6,37.2,6820,13.1,16700,1.42,3.4,236,No,NA,NA,NA,NA,NA,NA
215,Fiji,Oceania,926276,18.2,6.2,29.2,353100,4.5,9800,0.84,4.5,18274,No,55.86,59.86,62.98,65.51,67.55,69.27
216,French Polynesia,Oceania,290373,14.5,5.3,32.4,126300,21.8,17000,2.13,NA,4167,No,56.28,60.18,64.56,68.7,72.31,75.64
217,Guam,Oceania,167772,19.4,6,29.1,73210,4.5,35600,NA,NA,544,No,60.97,65.66,69.26,71.93,75.01,78.13
218,Kiribati,Oceania,109367,21,7,25,39000,30.6,2000,0.2,10.2,811,No,49.25,54.38,56.93,60.37,64,65.35
219,Marshall Islands,Oceania,75684,23.8,4.2,23.1,10670,36,3600,0.46,17.1,181,No,NA,NA,NA,NA,65.24,NA
220,"Micronesia, Federated States of",Oceania,103643,19.6,4.2,25.5,37920,16.2,3400,0.19,13.7,702,No,57.58,61.63,65.17,66.21,67.3,68.58
221,Nauru,Oceania,9692,23.2,5.9,26.7,NA,23,12300,1.24,3.3,21,No,NA,NA,NA,NA,NA,NA
222,New Caledonia,Oceania,282754,14.8,5.7,32.3,119500,14.7,31100,2.22,NA,18575,No,58.64,63.03,66.57,70.49,75.16,77.26
223,New Zealand,Oceania,4545627,13.1,7.6,38.1,2655000,4.7,39000,3.03,11,268838,No,71.24,71.27,72.83,75.38,78.64,80.7
224,Niue,Oceania,1618,NA,NA,NA,663,12,5800,NA,7.4,260,No,NA,NA,NA,NA,NA,NA
225,Norfolk Island,Oceania,1748,NA,NA,NA,978,NA,NA,NA,NA,36,No,NA,NA,NA,NA,NA,NA
226,Northern Mariana Islands,Oceania,51994,14.9,4.9,33.4,27970,11.2,24500,0.36,NA,464,No,NA,NA,NA,NA,NA,NA
227,Palau,Oceania,21516,11.3,8.2,33.6,11610,1.7,14700,1.19,9,459,No,NA,NA,NA,69.07,70.49,NA
228,Papua New Guinea,Oceania,7027332,23.3,6.6,23.4,3681000,2.5,3700,0.05,4.3,462840,Yes,41.89,48.51,55.62,58.87,61.83,64.63
229,Pitcairn Islands,Oceania,54,NA,NA,NA,15,NA,NA,NA,NA,47,No,NA,NA,NA,NA,NA,NA
230,Samoa,Oceania,201316,20.2,5.4,24.8,50700,5.2,5700,0.34,7.2,2831,No,49.75,54.78,59.8,64.85,69.31,73.12
231,Solomon Islands,Oceania,660121,24.5,3.8,22.8,202500,NA,2200,0.2,5.1,28896,No,49.17,54.25,58.78,56.64,63.1,68.57
232,Tokelau,Oceania,1285,NA,NA,NA,440,NA,1000,2.72,NA,12,No,NA,NA,NA,NA,NA,NA
233,Tonga,Oceania,106398,21.8,4.9,23.3,33800,1.1,5900,0.52,5.2,747,No,61.4,64.88,67.48,69.6,70.81,72.17
234,Tuvalu,Oceania,11147,23.7,8.4,26,3615,NA,3800,0.92,16.5,26,No,NA,NA,NA,NA,NA,NA
235,Vanuatu,Oceania,288037,23.5,4,22.3,115900,1.7,2700,0.17,5,12189,No,46.44,52.37,58.35,63.07,67.44,70.72
236,Wallis and Futuna,Oceania,15763,13,5.5,32.8,4482,8.8,3800,NA,NA,142,No,NA,NA,NA,NA,NA,NA
